ProductType,ProductName,Composition,ProductRole,Recommendation,Image500by500,Image600by800,Image600by800_2
Bio Stimulants,BIO UG - SEMIA,"Zn=20% +
 Polyphenols as TOC = 5.7%","Patented Technology Bio Activator of SAR 
(Systemic acquired resistance and provides 
general resistance and enhances tolerance to 
abiotic and biotic stress on crops, EnNuVi 
technology available based on polyphenolic 
complexation with Zn","Technology to be promoted with normal plant 
protection program for better disease 
management; optimum application timings 
are along with fungicides for effective
 biotic stress management",,,
Bio Stimulants,BIO UG MOLY,"MgO =24% + 
 Polyphenols as TOC = 4.90%","Patented Technology Bio Activator of SAR 
(Systemic acquired resistance and provides
general resistance and enhances tolerance 
to abiotic and biotic stress on crops, EnNuVi 
technology available based on polyphenolic
 complexation with Mg","Technology to be promoted with normal plant
 protection program for better disease 
management; optimum application timings 
are along with fungicides for effective
 biotic stress management",,,
Bio Stimulants,BIO UG- POLTUS,"Cu=20% + 
 Polyphenols as TOC = 9.80%","Patented Technology Bio Activator of SAR 
(Systemic acquired resistance and provides 
general resistance and enhances tolerance 
to abiotic and biotic stress on crops, EnNuVi 
technology available based on polyphenolic 
complexation with Cu","Technology to be promoted with normal plant 
protection program for better disease 
management; optimum application timings 
are along with fungicides for effective
 biotic stress management",,,
Bio Stimulants,Bio UG AMICK,"Ca=3% K2.8%
  Amio Acid 62.5%","Root growth and vigorous, Development of 
the buds, induces a greater flowering, 
Promotes the pollination and fruit setting, 
improves the quantity and quality of the 
harvest","Protection from Biotic Stress & support to 
recover from Abiotic stress, increase nutrient 
uptake efficiency, Increase shelf life",,,
Bio Stimulants,Bio UG Secure,8% of Red Seaweed + K,"Cutlivated in Trpoical Sea, Patented Active 
ingredient is Sulphated Galacto Oligosaccharides, 
acting on active receptors, Increase Photosynthesis","High yield with better quality & Protection 
from Biotic Stress, two-time application",,,
Bio Stimulants,UG Improve,30% of Red Seaweed Extract + K,"Cultivated in Tropical Sea, Patented Active 
ingredient is Sulphated Galacto Oligosaccharides, 
acting on active receptors, Increase 
Photosynthesis, High Concentration","High yield with better quality & Protection 
from Biotic Stress, twotime application",,,
Nutrients,UG CALO,"Total Boron (B) 7.0% (100 g/L)
 Total Calcium Oxide (CaO) 12.0% 
(180 g/L)","Helps to produce quality yield by improving the 
plant cell structure resulting fruits/ tubers in good 
size, better quality and free from
physiological disorders.","Protecting yield and quality:
 Protecting the farmer´s income from postharvest losses:
 Protection against abiotic and biotic stress conditions:
 Protecting the fungicide application
 Protection against application stress",UGCALO.jpg,UGCALO1.jpg,UGCALO2.jpg
Nutrients,UG CALBRO,"Total Boron (B) 7.0% (100 g/L) 
Total Calcium Oxide (CaO) 12.0%
(180 g/L)","Improves the movement of growing plants and 
transfer of the ascorbic acid from the leaves to 
the fruiting bodies , Contributes to better 
utilization of calcium in the metabolic 
processes in plants","Boron deficiency results improper calcium utilization
 Boron plays an important role in cell division and protein 
synthesis is an essential component of cell membranes
 Calcium pectate, is responsible for holding together the 
cell walls of plants.",UGCALBRO.jpg,UGCALBRO1.jpg,UGCALBRO2.jpg
Nutrients,UG Barebro,"Water-soluble Boron (B) 10,9% 
(150 g/L)","UG Barebro is Sodium free Boron technology to
supports Indian farmers for effective Boron 
nutrition. UG Barebro is a High water-soluble 
formulation, 100 % water-soluble high qualitative 
Boron with very low salinity grade.","Easy uptake/absorption by plant tissues
 • High resistance against abiotic stress conditions 
 • Healthy plants 
 • More biomass",UGBAREBRO.jpg,UGBAREBRO1.jpg,UGBAREBRO2.jpg
Nutrients,"UG Advance Mono Potassium Phosphate",Mono Potassium Phosphate,"It is a high purity product that dissolves completely 
and quickly in water. It has very low sodium 
content, MNCF UG Advance is recommended for
 use in any type of crop and in any fertigation 
system, drip irrigation, hydroponics, sprinkles, 
pivots or as monopotassium phosphate foliar spray.","For the production process: grapes, bananas, cotton, 
tomatoes, onions, ginger, ginger, turmeric, melon, flower, 
cereals cultivation, protected farming.
 All crops for foliar use
 As Water-soluble fertiliser
 Phosphorus and Potassium Source Nutrient Supplement",UGADVANCE-MONOPOTASSIUMPHOSPHATE.jpg,UGADVANCE-MONOPOTASSIUMPHOSPHATE1.jpg,UGBAREBRO2.jpg
